pair_id,layer_id,token_manhattan_distance,token_count,cosine_distance,relative_l2_distance
pair_000001,final,34,26,"{""count"": 26, ""mean"": 2.1757987829355094e-05, ""median"": 2.562999725341797e-06, ""p90"": 6.389617919921875e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.0002053380012512207, ""std"": 4.273349746638647e-05}","{""count"": 26, ""mean"": 0.032375842350750014, ""median"": 0.013529188465327024, ""p90"": 0.06913131661713123, ""min"": 0.0005499233957380056, ""max"": 0.19540385901927948, ""std"": 0.043447686596989166}"
pair_000001,final,35,26,"{""count"": 26, ""mean"": 1.6579261192908653e-05, ""median"": 4.470348358154297e-06, ""p90"": 3.507733345031738e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.00017893314361572266, ""std"": 3.4780384524766136e-05}","{""count"": 26, ""mean"": 0.04587474149033929, ""median"": 0.02193318959325552, ""p90"": 0.08009278029203415, ""min"": 0.0008925978909246624, ""max"": 0.4448189437389374, ""std"": 0.08403660541114148}"
pair_000001,final,36,26,"{""count"": 26, ""mean"": 1.6535703952495867e-05, ""median"": 1.9669532775878906e-06, ""p90"": 4.8726797103881836e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.00015223026275634766, ""std"": 3.31405625388365e-05}","{""count"": 26, ""mean"": 0.026606060148109324, ""median"": 0.009992847684770823, ""p90"": 0.06691981852054596, ""min"": 0.0008222262258641422, ""max"": 0.157688170671463, ""std"": 0.037498619175186515}"
pair_000001,final,37,26,"{""count"": 26, ""mean"": 1.2248754501342773e-05, ""median"": 1.9669532775878906e-06, ""p90"": 1.52587890625e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.0002009272575378418, ""std"": 3.812882635555031e-05}","{""count"": 26, ""mean"": 0.026534796976753008, ""median"": 0.016267691738903522, ""p90"": 0.07304103299975395, ""min"": 0.0008845191332511604, ""max"": 0.09271413832902908, ""std"": 0.02721977023072741}"
pair_000001,final,38,26,"{""count"": 26, ""mean"": 1.9587003267728367e-05, ""median"": 2.205371856689453e-06, ""p90"": 6.172060966491699e-05, ""min"": 4.76837158203125e-07, ""max"": 0.0001646280288696289, ""std"": 4.152943676432551e-05}","{""count"": 26, ""mean"": 0.04194877882344791, ""median"": 0.022046775557100773, ""p90"": 0.09116850793361664, ""min"": 0.0014114771038293839, ""max"": 0.28206250071525574, ""std"": 0.05830557399416974}"
pair_000001,final,39,26,"{""count"": 26, ""mean"": 5.540939477773813e-05, ""median"": 1.7881393432617188e-06, ""p90"": 7.832050323486328e-05, ""min"": 5.960464477539063e-08, ""max"": 0.0006714463233947754, ""std"": 0.00015606818182599373}","{""count"": 26, ""mean"": 0.0316689446201333, ""median"": 0.013924911618232727, ""p90"": 0.07549481466412544, ""min"": 0.0005631824024021626, ""max"": 0.18739746510982513, ""std"": 0.04452625765261255}"
pair_000001,final,40,26,"{""count"": 26, ""mean"": 1.3275788380549504e-05, ""median"": 2.4437904357910156e-06, ""p90"": 3.707408905029297e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.00011593103408813477, ""std"": 2.5308874425775226e-05}","{""count"": 26, ""mean"": 0.014003779783916589, ""median"": 0.010382318869233131, ""p90"": 0.03378846123814583, ""min"": 0.0020389300771057606, ""max"": 0.0446428582072258, ""std"": 0.011521897793561683}"
pair_000001,final,41,26,"{""count"": 26, ""mean"": 1.2819583599384014e-05, ""median"": 6.139278411865234e-06, ""p90"": 3.8504600524902344e-05, ""min"": 4.76837158203125e-07, ""max"": 5.3882598876953125e-05, ""std"": 1.548613735416619e-05}","{""count"": 26, ""mean"": 0.0287476943519253, ""median"": 0.013064307626336813, ""p90"": 0.05757889337837696, ""min"": 0.004994648043066263, ""max"": 0.25246259570121765, ""std"": 0.04781237963024934}"
pair_000001,final,42,26,"{""count"": 26, ""mean"": 4.667502183180589e-06, ""median"": 1.3113021850585938e-06, ""p90"": 1.5109777450561523e-05, ""min"": 2.384185791015625e-07, ""max"": 2.9265880584716797e-05, ""std"": 7.4533451752311955e-06}","{""count"": 26, ""mean"": 0.012982629537313746, ""median"": 0.011618857737630606, ""p90"": 0.025818096473813057, ""min"": 0.0009017702541314065, ""max"": 0.04239848256111145, ""std"": 0.009665028717792653}"
pair_000001,final,43,26,"{""count"": 26, ""mean"": 5.742678275475135e-06, ""median"": 2.1457672119140625e-06, ""p90"": 1.6570091247558594e-05, ""min"": 2.980232238769531e-07, ""max"": 4.0471553802490234e-05, ""std"": 8.935314513296957e-06}","{""count"": 26, ""mean"": 0.021563753275236543, ""median"": 0.013825205154716969, ""p90"": 0.040634168311953545, ""min"": 0.0008268295787274837, ""max"": 0.10358042269945145, ""std"": 0.02265041281522841}"
pair_000001,final,44,26,"{""count"": 26, ""mean"": 6.65738032414363e-06, ""median"": 1.1622905731201172e-06, ""p90"": 2.2113323211669922e-05, ""min"": 3.5762786865234375e-07, ""max"": 5.08427619934082e-05, ""std"": 1.1842079105842473e-05}","{""count"": 26, ""mean"": 0.02280350962582116, ""median"": 0.01795059535652399, ""p90"": 0.044468408450484276, ""min"": 0.0009938781149685383, ""max"": 0.09077294915914536, ""std"": 0.021595715922875135}"
pair_000001,final,45,26,"{""count"": 26, ""mean"": 9.213502590472881e-06, ""median"": 5.602836608886719e-06, ""p90"": 2.440810203552246e-05, ""min"": 2.980232238769531e-07, ""max"": 3.999471664428711e-05, ""std"": 1.0481728133932761e-05}","{""count"": 26, ""mean"": 0.013337713780436808, ""median"": 0.00831403024494648, ""p90"": 0.032838113605976105, ""min"": 0.0008117214892990887, ""max"": 0.047045253217220306, ""std"": 0.011820650012894743}"
pair_000001,final,46,26,"{""count"": 26, ""mean"": 1.2920452998234676e-05, ""median"": 6.318092346191406e-06, ""p90"": 2.0831823348999023e-05, ""min"": 2.384185791015625e-07, ""max"": 0.00014340877532958984, ""std"": 2.7058510594324512e-05}","{""count"": 26, ""mean"": 0.02568028582027182, ""median"": 0.014154847711324692, ""p90"": 0.07345101609826088, ""min"": 0.001153739751316607, ""max"": 0.09070823341608047, ""std"": 0.027069734877024458}"
pair_000001,final,47,26,"{""count"": 26, ""mean"": 6.492321307842548e-06, ""median"": 1.817941665649414e-06, ""p90"": 2.1249055862426758e-05, ""min"": 2.980232238769531e-07, ""max"": 3.8564205169677734e-05, ""std"": 1.0180051907806708e-05}","{""count"": 26, ""mean"": 0.013476936048111664, ""median"": 0.010157427750527859, ""p90"": 0.028305763378739357, ""min"": 0.0006759101524949074, ""max"": 0.0486985519528389, ""std"": 0.011407927884804908}"
pair_000001,final,48,26,"{""count"": 26, ""mean"": 6.3478946685791016e-06, ""median"": 2.086162567138672e-06, ""p90"": 1.7017126083374023e-05, ""min"": 1.7881393432617188e-07, ""max"": 4.369020462036133e-05, ""std"": 1.0155570870348108e-05}","{""count"": 26, ""mean"": 0.013755182525178848, ""median"": 0.008146760985255241, ""p90"": 0.02733480278402567, ""min"": 0.0009157615713775158, ""max"": 0.06635688990354538, ""std"": 0.01458627540585727}"
pair_000001,final,49,26,"{""count"": 26, ""mean"": 7.4666280012864336e-06, ""median"": 9.5367431640625e-07, ""p90"": 2.7388334274291992e-05, ""min"": 2.980232238769531e-07, ""max"": 7.605552673339844e-05, ""std"": 1.67203312576181e-05}","{""count"": 26, ""mean"": 0.01654123357282235, ""median"": 0.007591550471261144, ""p90"": 0.03502143360674381, ""min"": 0.0007466503884643316, ""max"": 0.07934601604938507, ""std"": 0.019391720258022473}"
pair_000001,final,50,26,"{""count"": 26, ""mean"": 1.4096498489379883e-05, ""median"": 2.6226043701171875e-06, ""p90"": 2.899765968322754e-05, ""min"": 3.5762786865234375e-07, ""max"": 0.00012570619583129883, ""std"": 2.6633305623430444e-05}","{""count"": 26, ""mean"": 0.0179719487294698, ""median"": 0.010024279821664095, ""p90"": 0.03913875762373209, ""min"": 0.0009272035676985979, ""max"": 0.09238264709711075, ""std"": 0.020262919566225068}"
pair_000001,final,51,26,"{""count"": 26, ""mean"": 5.22457636319674e-06, ""median"": 1.4603137969970703e-06, ""p90"": 1.946091651916504e-05, ""min"": 3.5762786865234375e-07, ""max"": 2.4974346160888672e-05, ""std"": 7.708025350120843e-06}","{""count"": 26, ""mean"": 0.01611614404604412, ""median"": 0.01079549128189683, ""p90"": 0.032817667350172997, ""min"": 0.0010702533181756735, ""max"": 0.037490200251340866, ""std"": 0.011284951216921262}"
pair_000001,final,52,25,"{""count"": 25, ""mean"": 3.2045841217041015e-05, ""median"": 1.430511474609375e-06, ""p90"": 3.983974456787111e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.000545799732208252, ""std"": 0.00010657547819025256}","{""count"": 25, ""mean"": 0.02285820493940264, ""median"": 0.013139838352799416, ""p90"": 0.04444582760334019, ""min"": 0.0006309692398644984, ""max"": 0.18367357552051544, ""std"": 0.03689629939299518}"
pair_000001,final,53,23,"{""count"": 23, ""mean"": 1.7757001130477242e-05, ""median"": 1.6689300537109375e-06, ""p90"": 3.826618194580078e-05, ""min"": 4.76837158203125e-07, ""max"": 0.00015676021575927734, ""std"": 3.441472177926318e-05}","{""count"": 23, ""mean"": 0.024754266786065116, ""median"": 0.014064528979361057, ""p90"": 0.03526525795459748, ""min"": 0.001232755952514708, ""max"": 0.1660737246274948, ""std"": 0.033736472260224755}"
pair_000001,final,54,21,"{""count"": 21, ""mean"": 9.531066531226748e-06, ""median"": 1.5497207641601562e-06, ""p90"": 2.2709369659423828e-05, ""min"": 2.384185791015625e-07, ""max"": 5.7816505432128906e-05, ""std"": 1.323559200567377e-05}","{""count"": 21, ""mean"": 0.01893730821376223, ""median"": 0.007693394087255001, ""p90"": 0.05183055251836777, ""min"": 0.0007243569125421345, ""max"": 0.11936090141534805, ""std"": 0.02872277635146642}"
pair_000001,final,55,19,"{""count"": 19, ""mean"": 3.325625469810084e-05, ""median"": 1.0132789611816406e-06, ""p90"": 4.1663646697997966e-05, ""min"": 1.7881393432617188e-07, ""max"": 0.0004208683967590332, ""std"": 9.573472709544866e-05}","{""count"": 19, ""mean"": 0.030896224752436148, ""median"": 0.011897475458681583, ""p90"": 0.05725380629301062, ""min"": 0.0006273923791013658, ""max"": 0.22846652567386627, ""std"": 0.05854265428019034}"
pair_000001,final,56,17,"{""count"": 17, ""mean"": 1.1622905731201172e-05, ""median"": 2.0265579223632812e-06, ""p90"": 3.224611282348633e-05, ""min"": 2.384185791015625e-07, ""max"": 5.1140785217285156e-05, ""std"": 1.4702155274412993e-05}","{""count"": 17, ""mean"": 0.02039483462816433, ""median"": 0.011542007327079773, ""p90"": 0.04689054414629937, ""min"": 0.001447593211196363, ""max"": 0.08304299414157867, ""std"": 0.02131902588360172}"
pair_000001,final,57,15,"{""count"": 15, ""mean"": 2.0432472229003907e-05, ""median"": 1.5676021575927734e-05, ""p90"": 3.83615493774414e-05, ""min"": 4.172325134277344e-07, ""max"": 9.083747863769531e-05, ""std"": 2.297992334716131e-05}","{""count"": 15, ""mean"": 0.01428582671796903, ""median"": 0.015181642025709152, ""p90"": 0.0236517708748579, ""min"": 0.0006822851137258112, ""max"": 0.031002234667539597, ""std"": 0.00869049904402374}"
pair_000001,final,58,14,"{""count"": 14, ""mean"": 4.694717270987374e-05, ""median"": 1.1622905731201172e-06, ""p90"": 0.0001175105571746825, ""min"": 6.556510925292969e-07, ""max"": 0.00047278404235839844, ""std"": 0.00012543786539693188}","{""count"": 14, ""mean"": 0.13671577339326696, ""median"": 0.01583006838336587, ""p90"": 0.11974848248064511, ""min"": 0.006512314081192017, ""max"": 1.5747333765029907, ""std"": 0.4004626075410156}"
pair_000001,final,59,13,"{""count"": 13, ""mean"": 4.153068249042217e-05, ""median"": 3.2186508178710938e-06, ""p90"": 2.0897388458251958e-05, ""min"": 0.0, ""max"": 0.000469207763671875, ""std"": 0.00012364316410854058}","{""count"": 13, ""mean"": 0.052684323087585375, ""median"": 0.01689327508211136, ""p90"": 0.06788165643811228, ""min"": 0.0007728884811513126, ""max"": 0.43622055649757385, ""std"": 0.11257452285062679}"
