pair_id,layer_id,feature_boundary,episode_id,step_id,app,hit_type,pixel_changed_ratio,feature_metric,threshold,feature_changed_ratio,feature_source,feature_token_count,visual_token_count,visual_token_grid,processor_merge_size,alignment_method,page_tile_unchanged_ratio,changed_region_feature_mean,unchanged_region_feature_mean,error
pair_000027,final,model_ready_visual,2264,14,,patch_candidate,0.09375,cosine_distance,0.005,0.23607427055702918,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.90625,0.031295556010621964,0.01168222725391388,
pair_000028,final,model_ready_visual,2264,16,,patch_candidate,0.1015625,cosine_distance,0.005,0.20689655172413793,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8984375,0.02552316811951724,0.0057801301772888,
pair_000029,final,model_ready_visual,2264,17,,patch_candidate,0.0859375,cosine_distance,0.005,0.13262599469496023,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9140625,0.011499623457590738,0.0036975484439704426,
pair_000030,final,model_ready_visual,2264,18,,patch_candidate,0.1015625,cosine_distance,0.005,0.16976127320954906,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8984375,0.012149185747713656,0.0073301190839094275,
pair_000031,final,model_ready_visual,2505,4,,near,0.0234375,cosine_distance,0.005,0.17771883289124668,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9765625,0.0248936265707016,0.008834180470081526,
pair_000032,final,model_ready_visual,2565,6,,patch_candidate,0.0625,cosine_distance,0.005,0.27586206896551724,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9375,0.11754070520401001,0.020048893633342925,
pair_000033,final,model_ready_visual,2646,5,,patch_candidate,0.0546875,cosine_distance,0.005,0.08753315649867374,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.033310977121194206,0.0051274078425874794,
pair_000034,final,model_ready_visual,2687,9,,near,0.03125,cosine_distance,0.005,0.1989389920424403,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.96875,0.016352548049046442,0.01064428408722301,
pair_000035,final,model_ready_visual,2727,3,,patch_candidate,0.0546875,cosine_distance,0.005,0.16445623342175067,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.01787865161895752,0.006316812619271427,
pair_000036,final,model_ready_visual,2727,4,,near,0.0234375,cosine_distance,0.005,0.1246684350132626,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9765625,0.015728865350995744,0.004896017184128632,
pair_000037,final,model_ready_visual,2787,3,,near,0.03125,cosine_distance,0.005,0.1724137931034483,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.96875,0.049666656388176814,0.009534960207731827,
pair_000038,final,model_ready_visual,2928,9,,near,0.015625,cosine_distance,0.005,0.06896551724137931,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.04790712147951126,0.0029331539381487258,
pair_000039,final,model_ready_visual,2928,13,,patch_candidate,0.0625,cosine_distance,0.005,0.10344827586206896,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9375,0.00745891531308492,0.0030187694276696225,
pair_000040,final,model_ready_visual,3008,6,,patch_candidate,0.1171875,cosine_distance,0.005,0.4217506631299735,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8828125,0.11185151067647067,0.026868777411120075,
pair_000041,final,model_ready_visual,3008,7,,patch_candidate,0.0859375,cosine_distance,0.005,0.129973474801061,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9140625,0.06246806294829757,0.0055307352542877195,
pair_000042,final,model_ready_visual,3008,9,,patch_candidate,0.109375,cosine_distance,0.005,0.33687002652519893,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.890625,0.07447703182697296,0.02041728790153028,
pair_000043,final,model_ready_visual,3008,12,,near,0.03125,cosine_distance,0.005,0.058355437665782495,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.96875,0.022669512033462524,0.0018863616262534658,
pair_000044,final,model_ready_visual,3048,3,,patch_candidate,0.09375,cosine_distance,0.005,0.11140583554376658,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.90625,0.02590151989098751,0.0024325660494870917,
pair_000045,final,model_ready_visual,3148,4,,patch_candidate,0.109375,cosine_distance,0.005,0.3156498673740053,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.890625,0.09450508015496391,0.02323364043793483,
pair_000046,final,model_ready_visual,3188,0,,patch_candidate,0.1015625,cosine_distance,0.005,0.14588859416445624,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.8984375,0.027085918027001457,0.00381281200577231,
pair_000047,final,model_ready_visual,3308,2,,near,0.0234375,cosine_distance,0.005,0.08753315649867374,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9765625,0.019233569502830505,0.0030443594880300026,
pair_000048,final,model_ready_visual,3408,5,,patch_candidate,0.0546875,cosine_distance,0.005,0.10875331564986737,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9453125,0.07253989279270172,0.003557810262471688,
pair_000049,final,model_ready_visual,3589,2,,near,0.015625,cosine_distance,0.005,0.021220159151193633,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.984375,0.004671871662139893,0.00047695588809874997,
pair_000050,final,model_ready_visual,3811,6,,patch_candidate,0.0625,cosine_distance,0.005,0.15384615384615385,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.9375,0.04591652892884754,0.005214477522989337,
pair_000051,final,model_ready_visual,3871,1,,patch_candidate,0.125,cosine_distance,0.005,0.11936339522546419,model.visual.merger,377,377,"[29, 13]",2,tile_mask_center_sample_to_merged_visual_token_grid,0.875,0.02276812493801117,0.0026499507977412297,
